2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
222,0.692,0.363,4.332,CC=NC
223,0.706,0.398,4.453,CNCCC=C=O
224,0.72,0.19,4.695,CC(=N)OO
225,0.676,0.397,4.232,N=CCO
226,0.676,0.397,4.232,N=CCO
227,0.712,0.43,3.977,CC=CN
228,0.651,0.466,4.079,CC(O)C=CN
229,0.857,0.406,4.27,NCCO
230,0.681,0.323,4.579,COC(O)(O)C#N
231,0.56,0.341,4.666,CC(=N)C(O)N=N
232,0.596,0.154,4.693,N#CC(O)NN
233,0.563,0.439,4.589,CN=C=CCN
234,0.678,0.334,4.139,CC#CCC=O
235,0.508,0.392,4.77,CN=C=CCN=N
236,0.56,0.411,4.261,N=C=CCN
237,0.56,0.411,4.261,N=C=CCN
238,0.673,0.443,4.338,N=CCCN
239,0.607,0.44,4.135,C=C=CCN
240,0.814,0.512,4.62,CCC(=O)CN
241,0.798,0.379,4.325,CCCCN=O
242,0.759,0.445,4.133,C=COCC
243,0.717,0.43,4.174,C#CCCN
244,0.706,0.294,4.212,CC(N)CNN
245,0.651,0.337,4.24,CC=CNN
246,0.655,0.359,3.923,C#CC#N
247,0.751,0.274,4.382,NCCNN
248,0.751,0.274,4.382,NCCNN
249,0.748,0.266,4.138,N#CCCNN
250,0.683,0.236,4.367,N#CCNN
251,0.683,0.236,4.367,N#CCNN
252,0.87,0.406,3.883,CCN
253,0.692,0.278,4.363,N#CC(N)O
254,0.729,0.431,4.614,CC(N)C#N
255,0.664,0.37,3.728,C#N
256,0.57,0.302,3.945,C#CC=N
257,0.677,0.29,4.509,CCC(O)OO
258,0.721,0.265,4.251,C=CCNN
259,0.798,0.353,4.27,CCCNN
260,0.73,0.397,4.114,CC#CCN
261,0.741,0.22,4.011,C=CCCNN
262,0.671,0.307,4.678,C=CCC(=C)NN
263,0.678,0.392,4.435,C#CC#CCN
264,0.731,0.447,4.54,CC#CCNC
265,0.696,0.317,5.072,CC(N)ON
266,0.669,0.385,4.722,CCON=N
267,0.6,0.299,4.261,C#CON
268,0.74,0.496,4.196,CCC(O)OC
269,0.714,0.37,4.348,C=CCON
270,0.838,0.342,3.942,OCO
271,0.74,0.496,4.196,CCC(O)OC
272,0.74,0.496,4.196,CCC(O)OC
