2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
92,0.611,0.414,7.355,CN1c2nc(n3nc(-c4ccco4)nc3n2)NC1Cc1ccc(OO)cc1
93,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
94,0.763,0.267,8.556,C=NOOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1
95,0.681,0.229,7.153,CC(C)(Nc1nc(N)n2nc(-c3ccc(N)o3)nc2n1)C(O)c1ccc(OO)cc1
96,0.662,0.501,7.816,Cc1cc2cc3c(Nc4nc(N)n5nc(-c6ccco6)nc5n4)c-2oc13
97,0.761,0.327,7.885,C=Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
98,0.552,0.464,7.473,Nc1nc(NC2(O)c3cc4ccc3OC42)nc2nc(-c3ccco3)nn12
99,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
100,0.703,0.218,8.149,Cc1cc(OO)ccc1CC(N)Nc1nc(N)n2nc(-c3ccco3)nc2n1
101,0.764,0.525,8.685,COc1ccc(CC(C)Nc2nc(N)n3nc(-c4ccco4)nc3n2)cc1C
102,0.801,0.458,7.996,COc1ccc(CCNc2nc(N)n3nc(-c4cc(O)c(C)o4)nc3n2)cc1
103,0.825,0.502,7.469,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
104,0.698,0.367,7.885,C=Cc1coc(-c2nc3nc(NC(O)Cc4ccc(O)cc4)nc(N)n3n2)c1
105,0.627,0.567,7.557,CCC1(Nc2nc(N)n3nc(-c4ccco4)nc3n2)C(=O)c2cccc1c2
106,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
107,0.801,0.384,7.673,ONc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
108,0.685,0.25,7.235,Nc1nc(NC2=Cc3cc(OO)ccc3C2)nc2nc(-c3oc(O)cc3O)nn12
109,0.765,0.222,6.924,Nc1nc(NCCc2ccc(OO)c(O)c2CO)nc2nc(-c3ccco3)nn12
110,0.73,0.255,8.673,Cc1cc(OON)c(C)cc1CCNc1nc(N)n2nc(-c3occc3N)nc2n1
111,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
112,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
113,0.714,0.235,7.156,NOc1ccc(CCNc2nc(N)n3nc(-c4oc(N=O)cc4ON)nc3n2)cc1
114,0.722,0.34,8.12,Cc1cc(OO)ccc1C(C)CNc1nc(N)n2nc(-c3ccco3)nc2n1
115,0.779,0.317,8.078,Cc1cc(OON)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
116,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
117,0.762,0.34,9.35,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3occc3C)nc2n1
118,0.696,0.262,7.648,C=C(c1ccc(OO)c(C)c1)C(O)Nc1ncn2nc(-c3ccco3)nc2n1
119,0.697,0.197,9.269,Cc1cc(OON)ccc1CC(N)Nc1nc(N)n2nc(-c3ccco3)nc2n1
